Deck Name,Card Name,Count,Set,Price (USD),Card URL
Lost Zone Box,Crispin,0.32,SCR,$0.13,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F567390%2Fpokemon-sv07-stellar-crown-crispin-133-142
Lost Zone Box,Kieran,0.04,TWM,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F550198%2Fpokemon-sv06-twilight-masquerade-kieran-154-167
Lost Zone Box,Irida,0.04,ASR,$0.06,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F272399%2Fswsh10-astral-radiance-irida
Lost Zone Box,Hassel,0.04,TWM,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F550195%2Fpokemon-sv06-twilight-masquerade-hassel-151-167
Lost Zone Box,Canceling Cologne,0.02,ASR,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F272388%2Fswsh10-astral-radiance-canceling-cologne
Lost Zone Box,Picnic Basket,0.02,SVI,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F488090%2Fsv01-scarlet-and-violet-base-set-picnic-basket-184-198
Lost Zone Box,Secret Box,0.02,TWM,$0.08,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F550207%2Fpokemon-sv06-twilight-masquerade-secret-box
Lost Zone Box,Cyllene,0.02,ASR,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F272390%2Fswsh10-astral-radiance-cyllene
Lost Zone Box,Water Energy,2.98,SVE,$0.14,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F578862%2Fpokemon-sv07-stellar-crown-basic-water-energy
Lost Zone Box,Lightning Energy,2.04,SVE,$0.10,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F578866%2Fpokemon-sv07-stellar-crown-basic-lightning-energy
Lost Zone Box,Grass Energy,1.82,SVE,$0.10,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F578864%2Fpokemon-sv07-stellar-crown-basic-grass-energy
Lost Zone Box,Metal Energy,1.6,SVE,$0.06,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F578869%2Fpokemon-sv07-stellar-crown-basic-metal-energy
Lost Zone Box,Jet Energy,0.8,PAL,$0.19,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F497563%2Fpokemon-sv02-paldea-evolved-jet-energy
Lost Zone Box,Psychic Energy,0.78,SVE,$0.03,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F578865%2Fpokemon-sv07-stellar-crown-basic-psychic-energy
Lost Zone Box,Darkness Energy,0.02,SVE,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F578868%2Fpokemon-sv07-stellar-crown-basic-darkness-energy
Lugia Archeops,Archeops,4.0,SIT,$1.12,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F450294%2Fswsh12-silver-tempest-archeops
Lugia Archeops,Lugia V,3.09,SIT,$12.29,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F450289%2Fswsh12-silver-tempest-lugia-v
Lugia Archeops,Lugia VSTAR,3.0,SIT,$6.21,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F451396%2Fswsh12-silver-tempest-lugia-vstar
Lugia Archeops,Lumineon V,1.99,BRS,$2.84,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F263740%2Fswsh09-brilliant-stars-lumineon-v
Lugia Archeops,Cinccino,1.41,TEF,$0.14,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F542881%2Fpokemon-sv05-temporal-forces-cinccino-137-162
Lugia Archeops,Minccino,1.29,TEF,$0.09,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F542880%2Fpokemon-sv05-temporal-forces-minccino-136-162
Lugia Archeops,Iron Hands ex,1.04,PAR,$2.38,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F523706%2Fpokemon-sv04-paradox-rift-iron-hands-ex-070-182
Lugia Archeops,Regigigas,1.02,PRE,$0.12,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F610441%2Fpokemon-sv-prismatic-evolutions-regigigas
Lugia Archeops,Bloodmoon Ursaluna ex,0.97,TWM,$1.89,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F550185%2Fpokemon-sv06-twilight-masquerade-bloodmoon-ursaluna-ex-141-167
Lugia Archeops,Squawkabilly ex,0.84,PAL,$0.75,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F497590%2Fpokemon-sv02-paldea-evolved-squawkabilly-ex
Lugia Archeops,Wellspring Mask Ogerpon ex,0.7,TWM,$1.21,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F550108%2Fpokemon-sv06-twilight-masquerade-wellspring-mask-ogerpon-ex-064-167
Lugia Archeops,Wyrdeer V,0.44,ASR,$0.23,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F272377%2Fswsh10-astral-radiance-wyrdeer-v
Lugia Archeops,Drapion V,0.21,LOR,$0.12,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F284018%2Fswsh11-lost-origin-drapion-v
Lugia Archeops,Radiant Charizard,0.2,CRZ,$0.69,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F478098%2Fcrown-zenith-radiant-charizard
Lugia Archeops,Flutter Mane,0.16,TEF,$0.01,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F542822%2Fpokemon-sv05-temporal-forces-flutter-mane
Lugia Archeops,Iron Bundle,0.16,PAR,$0.02,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F523666%2Fpokemon-sv04-paradox-rift-iron-bundle
Lugia Archeops,Klefki,0.1,SVI,$0.01,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F486602%2Fsv01-scarlet-and-violet-base-set-klefki-096-198
Lugia Archeops,Fezandipiti ex,0.1,SFA,$1.29,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F560348%2Fpokemon-sv-shrouded-fable-fezandipiti-ex-038-064
Lugia Archeops,Minccino,0.07,BRS,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F263847%2Fswsh09-brilliant-stars-minccino
Lugia Archeops,Munkidori,0.02,TWM,$0.01,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F550139%2Fpokemon-sv06-twilight-masquerade-munkidori
Lugia Archeops,Cornerstone Mask Ogerpon ex,0.01,TWM,$0.01,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F550156%2Fpokemon-sv06-twilight-masquerade-cornerstone-mask-ogerpon-ex-112-167
Lugia Archeops,Iron Thorns ex,0.01,TWM,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F550121%2Fpokemon-sv06-twilight-masquerade-iron-thorns-ex-077-167
Lugia Archeops,Ultra Ball,4.0,SVI,$0.80,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F488105%2Fsv01-scarlet-and-violet-base-set-ultra-ball-196-198
Lugia Archeops,Capturing Aroma,3.97,SIT,$0.39,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F451801%2Fswsh12-silver-tempest-capturing-aroma
Lugia Archeops,Boss's Orders,3.7,PAL,$4.55,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F497544%2Fpokemon-sv02-paldea-evolved-bosss-orders-172-193
Lugia Archeops,Professor's Research,3.16,JTG,$0.31,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F623582%2Fpokemon-sv09-journey-together-professors-research
Lugia Archeops,Iono,1.95,PAL,$0.66,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F497557%2Fpokemon-sv02-paldea-evolved-iono-185-193
Lugia Archeops,Nest Ball,1.78,SVI,$0.56,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F488087%2Fsv01-scarlet-and-violet-base-set-nest-ball-181-198
Lugia Archeops,Mesagoza,1.6,SVI,$0.14,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F488083%2Fsv01-scarlet-and-violet-base-set-mesagoza-178-198
Lugia Archeops,Jacq,0.91,SVI,$0.11,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F488080%2Fsv01-scarlet-and-violet-base-set-jacq-175-198
Lugia Archeops,Carmine,0.58,TWM,$0.06,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F550189%2Fpokemon-sv06-twilight-masquerade-carmine-145-167
Lugia Archeops,Thorton,0.52,LOR,$0.03,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F284100%2Fswsh11-lost-origin-thorton
Lugia Archeops,Great Ball,0.32,PAL,$0.02,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F497555%2Fpokemon-sv02-paldea-evolved-great-ball
Lugia Archeops,Jamming Tower,0.31,TWM,$0.05,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F550197%2Fpokemon-sv06-twilight-masquerade-jamming-tower
Lugia Archeops,Dusk Ball,0.09,SSP,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F589931%2Fpokemon-sv08-surging-sparks-dusk-ball
Lugia Archeops,Serena,0.09,SIT,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F451812%2Fswsh12-silver-tempest-serena
Lugia Archeops,Larry's Skill,0.05,PRE,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F610470%2Fpokemon-sv-prismatic-evolutions-larrys-skill-115-131
Lugia Archeops,Roseanne's Backup,0.04,BRS,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F263868%2Fswsh09-brilliant-stars-roseannes-backup
Lugia Archeops,Night Stretcher,0.03,SFA,$0.08,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F560372%2Fpokemon-sv-shrouded-fable-night-stretcher
Lugia Archeops,Morty's Conviction,0.01,TEF,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F542671%2Fpokemon-sv05-temporal-forces-mortys-conviction-155-162
Lugia Archeops,Black Belt's Training,0.01,JTG,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F623572%2Fpokemon-sv09-journey-together-black-belts-training-145-159
Lugia Archeops,Collapsed Stadium,0.01,BRS,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F263859%2Fswsh09-brilliant-stars-collapsed-stadium
Lugia Archeops,Irida,0.01,ASR,$0.01,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F272399%2Fswsh10-astral-radiance-irida
Lugia Archeops,Penny,0.01,SVI,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F488089%2Fsv01-scarlet-and-violet-base-set-penny-183-198
Lugia Archeops,Earthen Vessel,0.01,PAR,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F523844%2Fpokemon-sv04-paradox-rift-earthen-vessel
Lugia Archeops,Jet Energy,4.0,PAL,$0.96,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F497563%2Fpokemon-sv02-paldea-evolved-jet-energy
Lugia Archeops,Gift Energy,3.96,LOR,$0.47,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F284108%2Fswsh11-lost-origin-gift-energy
Lugia Archeops,Double Turbo Energy,3.64,BRS,$0.83,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F257307%2Fswsh09-brilliant-stars-double-turbo-energy
Lugia Archeops,Mist Energy,2.75,TEF,$0.52,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F542681%2Fpokemon-sv05-temporal-forces-mist-energy
Lugia Archeops,Legacy Energy,1.0,TWM,$0.86,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F550211%2Fpokemon-sv06-twilight-masquerade-legacy-energy
Lugia Archeops,V Guard Energy,0.36,SIT,$0.05,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F451817%2Fswsh12-silver-tempest-v-guard-energy
Lugia Archeops,Luminous Energy,0.21,PAL,$0.03,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F497564%2Fpokemon-sv02-paldea-evolved-luminous-energy
Lugia Archeops,Lightning Energy,0.08,SVE,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F578866%2Fpokemon-sv07-stellar-crown-basic-lightning-energy
Lugia Archeops,Fire Energy,0.02,SVE,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F578863%2Fpokemon-sv07-stellar-crown-basic-fire-energy
Lugia Archeops,Medical Energy,0.01,PAR,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F523863%2Fpokemon-sv04-paradox-rift-medical-energy
Gardevoir ex,Ralts,3.0,SVI,$0.33,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F487948%2Fsv01-scarlet-and-violet-base-set-ralts-084-198
Gardevoir ex,Munkidori,2.4,TWM,$1.36,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F550139%2Fpokemon-sv06-twilight-masquerade-munkidori
Gardevoir ex,Gardevoir ex,2.24,SVI,$1.54,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F487951%2Fsv01-scarlet-and-violet-base-set-gardevoir-ex-086-198
Gardevoir ex,Kirlia,2.0,SVI,$0.24,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F487949%2Fsv01-scarlet-and-violet-base-set-kirlia-085-198
Gardevoir ex,Budew,1.36,PRE,$1.15,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F610359%2Fpokemon-sv-prismatic-evolutions-budew
Gardevoir ex,Scream Tail,1.02,PAR,$0.09,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F523752%2Fpokemon-sv04-paradox-rift-scream-tail
Gardevoir ex,Lillie's Clefairy ex,1.0,JTG,$5.67,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F623483%2Fpokemon-sv09-journey-together-lillies-clefairy-ex-056-159
Gardevoir ex,Fezandipiti ex,0.98,SFA,$12.68,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F560348%2Fpokemon-sv-shrouded-fable-fezandipiti-ex-038-064
Gardevoir ex,Drifloon,0.92,SVI,$0.07,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F487955%2Fsv01-scarlet-and-violet-base-set-drifloon-089-198
Gardevoir ex,Mew ex,0.92,MEW,$7.08,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F516566%2Fpokemon-sv-scarlet-and-violet-151-mew-ex-151-165
Gardevoir ex,N's Zoroark ex,0.52,JTG,$4.32,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F623525%2Fpokemon-sv09-journey-together-ns-zoroark-ex-098-159
Gardevoir ex,N's Zorua,0.3,JTG,$0.06,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F623524%2Fpokemon-sv09-journey-together-ns-zorua
Gardevoir ex,Klefki,0.22,SVI,$0.03,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F486602%2Fsv01-scarlet-and-violet-base-set-klefki-096-198
Gardevoir ex,Squawkabilly ex,0.14,PAL,$0.12,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F497590%2Fpokemon-sv02-paldea-evolved-squawkabilly-ex
Gardevoir ex,Cleffa,0.1,OBF,$0.03,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F509809%2Fpokemon-sv03-obsidian-flames-cleffa
