Set ID,Number,Name,Rarity
swsh2,14,Phantump,Common
swsh2,18,Rillaboom VMAX,Rare Holo VMAX
swsh2,17,Rillaboom V,Rare Holo V
swsh2,15,Trevenant,Rare
swsh2,16,Grubbin,Common
swsh2,20,Applin,Common
swsh2,19,Eldegoss V,Rare Holo V
swsh2,21,Applin,Common
swsh2,22,Flapple,Rare Holo
swsh2,23,Appletun,Rare Holo
swsh2,25,Ninetales,Rare
swsh2,26,Ninetales V,Rare Holo V
swsh2,28,Arcanine,Rare
swsh2,24,Vulpix,Common
swsh2,27,Growlithe,Common
swsh2,31,Litwick,Common
swsh2,29,Magmar,Common
swsh2,30,Magmortar,Rare
swsh2,34,Heatmor,Uncommon
swsh2,32,Lampent,Uncommon
swsh2,33,Chandelure,Rare Holo
swsh2,36,Cinderace VMAX,Rare Holo VMAX
swsh2,35,Cinderace V,Rare Holo V
swsh2,38,Galarian Mr. Rime,Rare
swsh2,37,Galarian Mr. Mime,Common
swsh2,39,Magikarp,Common
swsh2,42,Pelipper,Uncommon
swsh2,41,Wingull,Common
swsh2,40,Gyarados,Rare Holo
swsh2,44,Tympole,Common
swsh2,43,Milotic V,Rare Holo V
swsh2,45,Palpitoad,Uncommon
swsh2,48,Galarian Darmanitan,Rare
swsh2,49,Inteleon V,Rare Holo V
swsh2,50,Inteleon VMAX,Rare Holo VMAX
swsh2,51,Cramorant,Rare
swsh2,47,Galarian Darumaka,Common
swsh2,46,Seismitoad,Rare
swsh2,54,Eiscue,Rare Holo
swsh2,53,Barraskewda,Rare
swsh2,55,Eiscue V,Rare Holo V
swsh2,52,Arrokuda,Common
swsh2,56,Voltorb,Common
swsh2,57,Electrode,Uncommon
swsh2,58,Electabuzz,Common
swsh2,60,Shinx,Common
swsh2,62,Luxray,Rare Holo
swsh2,61,Luxio,Uncommon
swsh2,59,Electivire,Rare
swsh2,65,Charjabug,Uncommon
swsh2,66,Vikavolt,Rare Holo
swsh2,63,Helioptile,Common
swsh2,64,Heliolisk,Uncommon
swsh2,68,Toxel,Common
swsh2,67,Boltund V,Rare Holo V
swsh2,69,Toxtricity,Rare
swsh2,70,Toxtricity V,Rare Holo V
swsh2,71,Toxtricity VMAX,Rare Holo VMAX
swsh2,73,Morpeko,Uncommon
swsh2,72,Pincurchin V,Rare Holo V
swsh2,74,Clefairy,Common
swsh2,75,Clefable,Rare Holo
swsh2,76,Natu,Common
swsh2,77,Xatu,Uncommon
swsh2,78,Galarian Corsola,Common
swsh2,79,Galarian Cursola,Rare Holo
swsh2,80,Sigilyph,Rare
swsh2,81,Sandygast,Common
swsh2,82,Palossand,Uncommon
swsh2,84,Hattrem,Uncommon
swsh2,86,Milcery,Common
swsh2,83,Hatenna,Common
swsh2,85,Hatterene,Rare Holo
swsh2,87,Alcremie,Rare
swsh2,88,Indeedee,Uncommon
swsh2,91,Dragapult,Rare Holo
swsh2,92,Dragapult V,Rare Holo V
swsh2,93,Dragapult VMAX,Rare Holo VMAX
swsh2,97,Meditite,Common
swsh2,96,Nosepass,Common
swsh2,90,Drakloak,Uncommon
swsh2,89,Dreepy,Common
swsh2,94,Galarian Farfetch'd,Common
swsh2,95,Galarian Sirfetch'd,Rare Holo
swsh2,100,Whiscash,Rare
swsh2,98,Medicham,Uncommon
swsh2,99,Barboach,Common
swsh2,101,Galarian Yamask,Common
swsh2,102,Galarian Runerigus,Rare
swsh2,103,Binacle,Common
swsh2,104,Barbaracle,Rare
swsh2,105,Rolycoly,Common
swsh2,106,Carkol,Uncommon
swsh2,108,Sandaconda V,Rare Holo V
swsh2,109,Falinks,Uncommon
swsh2,107,Coalossal,Rare Holo
swsh2,110,Falinks V,Rare Holo V
swsh2,111,Stonjourner,Rare Holo
swsh2,112,Koffing,Common
swsh2,116,Spiritomb,Rare
swsh2,113,Galarian Weezing,Rare Holo
swsh2,114,Stunky,Common
swsh2,115,Skuntank,Uncommon
swsh2,121,Malamar V,Rare Holo V
swsh2,119,Vullaby,Common
swsh2,120,Mandibuzz,Rare
swsh2,122,Malamar VMAX,Rare Holo VMAX
swsh2,117,Trubbish,Common
swsh2,118,Garbodor,Rare
swsh2,125,Grimmsnarl,Rare Holo
swsh2,123,Impidimp,Common
swsh2,124,Morgrem,Uncommon
swsh2,126,Galarian Meowth,Common
swsh2,130,Bronzong,Uncommon
swsh2,132,Durant,Uncommon
swsh2,131,Probopass,Rare
swsh2,127,Galarian Perrserker,Rare
swsh2,128,Scizor,Rare
swsh2,129,Bronzor,Common
swsh2,139,Zacian,Rare
swsh2,134,Doublade,Uncommon
swsh2,136,Copperajah V,Rare Holo V
swsh2,141,Snorlax,Rare
swsh2,147,Diggersby,Rare
swsh2,135,Aegislash,Rare
swsh2,137,Copperajah VMAX,Rare Holo VMAX
swsh2,144,Tranquill,Uncommon
swsh2,149,Stufful,Common
swsh2,142,Chatot,Uncommon
swsh2,143,Pidove,Common
swsh2,145,Unfezant,Rare
swsh2,146,Bunnelby,Common
swsh2,152,Greedent,Rare
swsh2,155,Burning Scarf,Uncommon
swsh2,156,Capacious Bucket,Uncommon
swsh2,151,Skwovet,Common
swsh2,133,Honedge,Common
swsh2,138,Duraludon,Rare Holo
swsh2,140,Zamazenta,Rare
swsh2,148,Hawlucha,Uncommon
swsh2,150,Bewear,Uncommon
swsh2,153,Dubwool V,Rare Holo V
swsh2,154,Boss's Orders,Rare Holo
swsh2,157,Cursed Shovel,Uncommon
swsh2,159,Full Heal,Uncommon
swsh2,162,Nugget,Uncommon
swsh2,158,Dan,Uncommon
swsh2,160,Galar Mine,Uncommon
swsh2,161,Milo,Uncommon
swsh2,163,Oleana,Uncommon
swsh2,164,Poké Ball,Uncommon
swsh2,165,Scoop Up Net,Uncommon
swsh2,176,Eldegoss V,Rare Ultra
swsh2,175,Rillaboom V,Rare Ultra
swsh2,183,Dragapult V,Rare Ultra
swsh2,193,Rillaboom VMAX,Rare Rainbow
swsh2,194,Cinderace VMAX,Rare Rainbow
swsh2,169,Training Court,Uncommon
swsh2,170,Turffield Stadium,Uncommon
swsh2,172,Horror Psychic Energy,Uncommon
swsh2,173,Speed Lightning Energy,Uncommon
swsh2,166,Skyla,Uncommon
swsh2,167,Sonia,Uncommon
swsh2,168,Tool Scrapper,Uncommon
swsh2,171,Capture Energy,Uncommon
swsh2,174,Twin Energy,Uncommon
swsh2,177,Ninetales V,Rare Ultra
swsh2,181,Boltund V,Rare Ultra
swsh2,182,Toxtricity V,Rare Ultra
swsh2,184,Sandaconda V,Rare Ultra
swsh2,188,Dubwool V,Rare Ultra
swsh2,189,Boss's Orders,Rare Ultra
swsh2,195,Inteleon VMAX,Rare Rainbow
swsh2,178,Cinderace V,Rare Ultra
swsh2,179,Milotic V,Rare Ultra
swsh2,180,Inteleon V,Rare Ultra
swsh2,185,Falinks V,Rare Ultra
swsh2,186,Malamar V,Rare Ultra
swsh2,187,Copperajah V,Rare Ultra
swsh2,190,Milo,Rare Ultra
swsh2,191,Oleana,Rare Ultra
swsh2,192,Sonia,Rare Ultra
swsh2,200,Boss's Orders,Rare Rainbow
swsh2,201,Milo,Rare Rainbow
swsh2,205,Galarian Perrserker,Rare Secret
swsh2,208,Tool Scrapper,Rare Secret
swsh2,198,Malamar VMAX,Rare Rainbow
swsh2,204,Frosmoth,Rare Secret
swsh2,196,Toxtricity VMAX,Rare Rainbow
swsh2,199,Copperajah VMAX,Rare Rainbow
swsh2,202,Oleana,Rare Rainbow
swsh2,203,Sonia,Rare Rainbow
swsh2,207,Scoop Up Net,Rare Secret
swsh2,209,Twin Energy,Rare Secret
swsh2,197,Dragapult VMAX,Rare Rainbow
swsh2,206,Big Charm,Rare Secret
swsh3,1,Butterfree V,Rare Holo V
swsh3,2,Butterfree VMAX,Rare Holo VMAX
swsh3,3,Paras,Common
swsh3,4,Parasect,Uncommon
swsh3,5,Carnivine,Uncommon
swsh3,6,Pansage,Common
swsh3,7,Simisage,Uncommon
swsh3,8,Karrablast,Common
swsh3,9,Shelmet,Common
swsh3,10,Accelgor,Rare
swsh3,11,Rowlet,Common
swsh3,12,Dartrix,Uncommon
swsh3,13,Decidueye,Rare Holo
swsh3,14,Bounsweet,Common
swsh3,15,Steenee,Uncommon
swsh3,16,Tsareena,Rare
swsh3,17,Wimpod,Common
swsh3,20,Charizard VMAX,Rare Holo VMAX
swsh3,19,Charizard V,Rare Holo V
swsh3,21,Houndoom V,Rare Holo V
swsh3,18,Golisopod,Rare Holo
swsh3,23,Combusken,Uncommon
swsh3,22,Torchic,Common
swsh3,24,Blaziken,Rare Holo
swsh3,27,Simisear,Uncommon
swsh3,29,Larvesta,Common
swsh3,30,Volcarona,Rare
swsh3,26,Pansear,Common
swsh3,25,Heatran,Rare Holo
swsh3,28,Galarian Darmanitan,Rare
swsh3,31,Fletchinder,Uncommon
swsh3,32,Talonflame,Rare
swsh3,33,Centiskorch V,Rare Holo V
swsh3,35,Galarian Mr. Mime,Common
swsh3,34,Centiskorch VMAX,Rare Holo VMAX
swsh3,36,Galarian Mr. Rime,Rare
swsh3,37,Suicune,Rare Holo
swsh3,38,Feebas,Common
swsh3,39,Milotic,Rare Holo
swsh3,40,Relicanth,Uncommon
swsh3,41,Panpour,Common
swsh3,42,Simipour,Uncommon
swsh3,43,Galarian Darumaka,Common
swsh3,44,Galarian Darmanitan,Rare
swsh3,47,Vanilluxe,Rare
swsh3,48,Cubchoo,Common
swsh3,50,Wishiwashi,Common
swsh3,45,Vanillite,Common
swsh3,46,Vanillish,Uncommon
swsh3,49,Beartic,Rare
swsh3,54,Arctovish,Rare
swsh3,52,Toxapex,Uncommon
swsh3,53,Dracovish,Rare Holo
swsh3,51,Mareanie,Common
swsh3,55,Mareep,Common
swsh3,56,Flaaffy,Uncommon
swsh3,57,Ampharos,Rare
swsh3,58,Electrike,Common
swsh3,60,Vikavolt V,Rare Holo V
swsh3,59,Manectric,Rare
swsh3,63,Toxtricity,Rare Holo
swsh3,61,Tapu Koko,Rare Holo
swsh3,62,Toxel,Common
swsh3,64,Pincurchin,Rare Holo
swsh3,65,Dracozolt,Rare
swsh3,66,Arctozolt,Rare Holo
swsh3,67,Jigglypuff,Common
swsh3,68,Wigglytuff,Rare
swsh3,69,Mew V,Rare Holo V
swsh3,70,Snubbull,Common
swsh3,72,Lunatone,Uncommon
swsh3,71,Granbull,Rare
swsh3,73,Gothita,Common
swsh3,74,Gothorita,Uncommon
swsh3,75,Gothitelle,Rare
swsh3,76,Golett,Common
swsh3,77,Golurk,Rare
swsh3,78,Dedenne,Uncommon
swsh3,79,Morelull,Common
swsh3,80,Shiinotic,Uncommon
swsh3,83,Polteageist,Uncommon
swsh3,81,Mimikyu,Rare
swsh3,82,Sinistea,Common
swsh3,84,Diglett,Common
swsh3,85,Dugtrio,Uncommon
swsh3,86,Larvitar,Common
swsh3,88,Tyranitar,Rare Holo
swsh3,90,Vibrava,Uncommon
swsh3,91,Flygon,Rare
swsh3,87,Pupitar,Uncommon
swsh3,89,Trapinch,Common
swsh3,92,Solrock,Uncommon
swsh3,93,Hippopotas,Common
swsh3,96,Diggersby,Rare
swsh3,94,Hippowdon,Rare
swsh3,95,Rhyperior V,Rare Holo V
swsh3,98,Galarian Sirfetch'd,Rare
swsh3,97,Passimian,Common
swsh3,99,Galarian Slowbro V,Rare Holo V
swsh3,100,Grimer,Common
swsh3,101,Muk,Rare
swsh3,102,Spinarak,Common
swsh3,103,Ariados,Uncommon
swsh3,104,Crobat V,Rare Holo V
swsh3,105,Darkrai,Rare Holo
swsh3,107,Liepard,Rare
swsh3,106,Purrloin,Common
swsh3,109,Zweilous,Uncommon
swsh3,108,Deino,Common
swsh3,111,Hoopa,Rare Holo
swsh3,110,Hydreigon,Rare
swsh3,112,Nickit,Common
swsh3,113,Thievul,Rare
swsh3,114,Grimmsnarl V,Rare Holo V
swsh3,115,Grimmsnarl VMAX,Rare Holo VMAX
swsh3,116,Eternatus V,Rare Holo V
swsh3,117,Eternatus VMAX,Rare Holo VMAX
swsh3,118,Scizor V,Rare Holo V
swsh3,119,Scizor VMAX,Rare Holo VMAX
swsh3,121,Aron,Common
swsh3,120,Skarmory,Common
swsh3,126,Klang,Uncommon
swsh3,124,Escavalier,Rare
swsh3,131,Cufant,Common
swsh3,132,Copperajah,Rare Holo
swsh3,137,Dunsparce,Common
swsh3,125,Klink,Common
swsh3,127,Klinklang,Rare
swsh3,129,Meltan,Common
swsh3,134,Tauros,Common
swsh3,136,Furret,Uncommon
swsh3,133,Kangaskhan,Rare Holo
swsh3,122,Lairon,Uncommon
swsh3,123,Aggron,Rare Holo
swsh3,128,Galarian Stunfisk V,Rare Holo V
swsh3,130,Melmetal,Rare
swsh3,135,Sentret,Common
swsh3,138,Teddiursa,Common
swsh3,139,Ursaring,Uncommon
swsh3,140,Lugia,Rare
swsh3,141,Skitty,Common
swsh3,143,Salamence V,Rare Holo V
swsh3,145,Starly,Common
swsh3,142,Delcatty,Rare
swsh3,144,Salamence VMAX,Rare Holo VMAX
swsh3,149,Swanna,Rare
swsh3,150,Bunnelby,Common
swsh3,146,Staravia,Uncommon
swsh3,147,Staraptor,Rare
swsh3,148,Ducklett,Common
swsh3,156,Corviknight,Rare Holo
swsh3,163,Kabu,Uncommon
swsh3,161,Familiar Bell,Uncommon
swsh3,162,Glimwood Tangle,Uncommon
swsh3,166,Pokémon Breeder's Nurturing,Uncommon
swsh3,172,Turbo Patch,Uncommon
swsh3,175,Hiding Darkness Energy,Uncommon
swsh3,178,Houndoom V,Rare Ultra
swsh3,167,Rare Fossil,Uncommon
swsh3,176,Powerful Colorless Energy,Uncommon
swsh3,177,Butterfree V,Rare Ultra
swsh3,151,Fletchling,Common
swsh3,152,Skwovet,Common
swsh3,153,Greedent,Rare
swsh3,154,Rookidee,Common
swsh3,159,Bird Keeper,Uncommon
swsh3,160,Cape of Toughness,Uncommon
swsh3,155,Corvisquire,Uncommon
swsh3,157,Big Parasol,Uncommon
swsh3,158,Billowing Smoke,Uncommon
swsh3,164,Old PC,Uncommon
swsh3,165,Piers,Uncommon
swsh3,168,Rose,Uncommon
swsh3,170,Spikemuth,Uncommon
swsh3,173,Yell Horn,Uncommon
swsh3,179,Centiskorch V,Rare Ultra
swsh3,169,Rose Tower,Uncommon
swsh3,171,Struggle Gloves,Uncommon
swsh3,174,Heat Fire Energy,Uncommon
swsh3,193,Scizor VMAX,Rare Rainbow
swsh3,194,Salamence VMAX,Rare Rainbow
swsh3,199,Big Parasol,Rare Secret
swsh3,181,Rhyperior V,Rare Ultra
swsh3,182,Crobat V,Rare Ultra
swsh3,189,Rose,Rare Ultra
swsh3,184,Galarian Stunfisk V,Rare Ultra
swsh3,185,Salamence V,Rare Ultra
swsh3,187,Piers,Rare Ultra
swsh3,188,Pokémon Breeder's Nurturing,Rare Ultra
swsh3,190,Butterfree VMAX,Rare Rainbow
swsh3,191,Centiskorch VMAX,Rare Rainbow
swsh3,192,Eternatus VMAX,Rare Rainbow
swsh3,195,Pokémon Breeder's Nurturing,Rare Rainbow
swsh3,198,Coalossal,Rare Secret
swsh3,180,Vikavolt V,Rare Ultra
swsh3,183,Scizor V,Rare Ultra
swsh3,186,Kabu,Rare Ultra
swsh3,196,Rose,Rare Rainbow
swsh3,197,Rillaboom,Rare Secret
swsh3,200,Turbo Patch,Rare Secret
swsh3,201,Capture Energy,Rare Secret
swsh4,2,Kakuna,Uncommon
swsh4,1,Weedle,Common
swsh4,3,Beedrill,Rare
swsh4,4,Exeggcute,Common
swsh4,5,Exeggutor,Rare
swsh4,6,Yanma,Common
swsh4,7,Yanmega,Rare
swsh4,8,Pineco,Common
swsh4,9,Celebi,Amazing Rare
swsh4,10,Seedot,Common
swsh4,11,Nuzleaf,Uncommon
swsh4,12,Shiftry,Rare
swsh4,14,Ninjask,Rare
swsh4,13,Nincada,Common
swsh4,16,Genesect,Rare Holo
swsh4,15,Shaymin,Rare Holo
swsh4,20,Orbeetle V,Rare Holo V
swsh4,18,Gogoat,Uncommon
swsh4,17,Skiddo,Common
swsh4,19,Dhelmise,Uncommon
swsh4,21,Orbeetle VMAX,Rare Holo VMAX
swsh4,22,Zarude V,Rare Holo V
swsh4,26,Flareon,Rare
swsh4,23,Charmander,Common
swsh4,25,Charizard,Rare
swsh4,24,Charmeleon,Uncommon
swsh4,29,Talonflame V,Rare Holo V
swsh4,31,Wailmer,Common
swsh4,27,Slugma,Common
swsh4,28,Magcargo,Uncommon
swsh4,30,Vaporeon,Rare
swsh4,32,Wailord,Rare Holo
swsh4,33,Oshawott,Common
swsh4,34,Dewott,Uncommon
swsh4,36,Galarian Darmanitan V,Rare Holo V
swsh4,37,Galarian Darmanitan VMAX,Rare Holo VMAX
swsh4,35,Samurott,Rare
swsh4,38,Chewtle,Common
swsh4,39,Drednaw,Rare
swsh4,40,Cramorant,Uncommon
swsh4,41,Arrokuda,Common
swsh4,42,Barraskewda,Rare
swsh4,43,Pikachu V,Rare Holo V
swsh4,44,Pikachu VMAX,Rare Holo VMAX
swsh4,45,Voltorb,Common
swsh4,46,Electrode,Rare Holo
swsh4,47,Jolteon,Rare
swsh4,48,Zapdos,Rare Holo
swsh4,49,Ampharos V,Rare Holo V
swsh4,50,Raikou,Amazing Rare
swsh4,51,Electrike,Common
swsh4,52,Manectric,Rare
swsh4,56,Galvantula,Uncommon
swsh4,54,Zebstrika,Uncommon
swsh4,53,Blitzle,Common
swsh4,55,Joltik,Common
swsh4,57,Tynamo,Common
swsh4,58,Eelektrik,Uncommon
swsh4,59,Eelektross,Rare
swsh4,60,Zekrom,Rare Holo
swsh4,61,Zeraora,Rare Holo
swsh4,62,Pincurchin,Uncommon
swsh4,63,Clefairy,Common
swsh4,67,Shuppet,Common
swsh4,66,Shedinja,Rare
swsh4,64,Clefable,Rare
swsh4,65,Girafarig,Uncommon
swsh4,69,Duskull,Common
swsh4,70,Dusclops,Uncommon
swsh4,68,Banette,Rare
swsh4,72,Chimecho,Common
swsh4,71,Dusknoir,Rare Holo
swsh4,73,Woobat,Common
swsh4,75,Cottonee,Common
swsh4,74,Swoobat,Uncommon
swsh4,76,Whimsicott,Rare
swsh4,77,Dedenne,Common
swsh4,78,Xerneas,Rare Holo
swsh4,79,Diancie,Rare Holo
swsh4,80,Milcery,Common
swsh4,81,Alcremie,Rare
swsh4,83,Wooper,Common
swsh4,82,Zacian,Amazing Rare
swsh4,86,Phanpy,Common
swsh4,87,Donphan,Rare
swsh4,85,Shuckle,Uncommon
swsh4,84,Quagsire,Rare
swsh4,88,Hitmontop,Uncommon
swsh4,89,Regirock,Rare Holo
swsh4,93,Zygarde,Rare Holo
swsh4,90,Riolu,Common
swsh4,92,Terrakion,Rare
swsh4,95,Lycanroc,Rare
swsh4,96,Mudbray,Common
swsh4,91,Drilbur,Common
swsh4,94,Rockruff,Common
swsh4,100,Clobbopus,Common
swsh4,97,Mudsdale,Rare
swsh4,98,Coalossal V,Rare Holo V
swsh4,99,Coalossal VMAX,Rare Holo VMAX
swsh4,101,Grapploct,Rare
